m,n,R,s,seed,ker_dim,s_val,decomp_error,w
2,2,1,0,0,0,0.21520904025307797,,
2,2,1,1,0,1,,0.0,0.0
2,2,2,2,0,2,0.3981052890768444,4.20934145542537e-16,0.0
2,3,2,0,0,0,0.08893856365708647,,
2,3,2,1,0,1,0.08298649274483921,2.391491706461784e-16,0.0
2,3,2,2,0,2,0.39040979293636474,5.095836946117502e-16,0.0
2,3,3,3,0,3,0.008604736035185292,1.6751582494232166e-15,0.0
2,4,3,0,0,0,0.004000681607466717,,
2,4,3,1,0,1,0.016165981939904095,2.1627167506803379e-16,2.220446049250313e-16
2,4,3,2,0,2,0.1973180375481434,8.182682864422665e-16,0.0
2,4,3,3,0,3,0.04655827161388727,8.849474650807495e-16,1.1102230246251565e-16
2,4,4,4,0,4,0.04136780014396094,4.383953754010209e-15,1.1102230246251565e-16
3,3,3,0,0,0,0.12797675954124207,,
3,3,4,1,0,1,0.009861421899314975,4.5297214202438e-16,0.0
3,3,4,2,0,2,0.041948650623310005,1.2895192712969016e-15,0.0
3,3,4,3,0,3,0.1929510635462156,1.605252030143354e-15,0.0
3,3,4,4,0,4,0.1650903776159129,3.0087732287821585e-15,1.1102230246251565e-16
2,5,4,0,0,0,0.11002297437385711,,
2,5,4,1,0,1,0.02628991655742067,1.2645530782779137e-15,0.0
2,5,4,2,0,2,0.08700957394489915,9.950398090167621e-16,1.1102230246251565e-16
2,5,4,3,0,3,0.0007672771263988054,4.043348528788077e-14,0.0
2,5,4,4,0,4,0.053172082798863686,1.4990799582694275e-14,1.1102230246251565e-16
2,5,5,5,0,5,0.0020112972632137494,1.3776437121662407e-13,0.0
2,6,5,0,0,0,0.02628769261342079,,
2,6,5,1,0,1,0.015318387068108116,1.915103252899806e-15,0.0
2,6,5,2,0,2,0.01755070393886756,2.442963024279815e-15,1.1102230246251565e-16
2,6,5,3,0,3,0.025139070973667493,1.5833639457176997e-14,1.1102230246251565e-16
2,6,5,4,0,4,0.03496652363554626,4.687434621905447e-15,0.0
2,6,5,5,0,5,0.011950512740396697,8.062595192636893e-15,2.220446049250313e-16
2,6,6,6,0,6,0.006035479604825613,1.5323261565899278e-13,0.0
3,4,5,0,0,0,0.06884637361044413,,
3,4,5,1,0,1,0.05743776594744887,4.2077682908999056e-16,1.1102230246251565e-16
3,4,5,2,0,2,0.02729132349571128,3.4028907432626587e-15,1.1102230246251565e-16
3,4,6,3,0,3,0.01502202994234567,4.208772920742818e-15,1.1102230246251565e-16
3,4,6,4,0,4,0.03634223625262701,6.08446640648741e-14,0.0
3,4,6,5,0,5,0.03841637764167166,4.626465863026928e-15,1.1102230246251565e-16
3,4,6,6,0,6,0.030788039374018195,9.247083377738703e-15,1.1102230246251565e-16
2,7,6,0,0,0,0.009301905494050569,,
2,7,6,1,0,1,0.015410870912523713,1.6481398965690513e-15,1.1102230246251565e-16
2,7,6,2,0,2,0.01534049958355712,3.0998591146963927e-15,1.1102230246251565e-16
2,7,6,3,0,3,0.022623499517677427,4.188456251938447e-15,0.0
2,7,6,4,0,4,0.056448197476596136,2.2922249423845107e-14,2.220446049250313e-16
2,7,6,5,0,5,0.05679776217896726,8.954986648319747e-15,1.1102230246251565e-16
2,7,6,6,0,6,0.010810811624820896,5.5000349627673884e-14,1.1102230246251565e-16
2,7,7,7,0,7,0.0016130952916665038,1.081276630914212e-13,1.1102230246251565e-16
2,8,7,0,0,0,0.011800795313002484,,
2,8,7,1,0,1,0.01725263313634979,2.4601869761413405e-15,0.0
2,8,7,2,0,2,0.013345245633054842,9.661254539925738e-15,0.0
2,8,7,3,0,3,0.0010450467235085326,4.2684149484176544e-14,1.1102230246251565e-16
