m,n,R,s,seed,ker_dim,s_val,decomp_error,w
2,,1,0,0,0,0.14223872518456568,,
2,,1,1,0,1,,0.0,0.0
2,,2,2,0,2,0.616576642975077,1.8824747269678055e-16,0.0
3,,3,0,0,0,0.16286020987090374,,
3,,3,1,0,1,0.15871590209913058,3.3471588646199093e-16,1.1102230246251565e-16
3,,3,2,0,2,0.014989635185815139,2.494630221237382e-15,2.220446049250313e-16
3,,3,3,0,3,0.4935289151026522,4.870086550123493e-15,0.0
3,,4,4,0,4,0.053480960740698205,1.2411893360883527e-14,0.0
4,,5,0,0,0,0.15739237265585093,,
4,,6,1,0,1,0.007987447203919227,4.2283951447015726e-16,0.0
4,,6,2,0,2,0.034408618558584916,7.113693656562821e-15,0.0
4,,6,3,0,3,0.010709480695821904,1.1654346822467754e-14,0.0
4,,6,4,0,4,0.0311275811539366,1.4511026527571327e-14,1.1102230246251565e-16
4,,6,5,0,5,0.13416088160702327,4.7443767580789665e-15,0.0
4,,6,6,0,6,0.06656407849593372,1.5426845073351133e-14,0.0
5,,9,0,0,0,0.0185627962916472,,
5,,9,1,0,1,0.06540443042660192,6.871796958000164e-16,0.0
5,,9,2,0,2,0.016469781246495927,1.3448366798566939e-14,0.0
5,,9,3,0,3,0.0546267066067245,1.0605684830514045e-14,0.0
5,,9,4,0,4,0.010857999114849646,7.02363275039907e-14,1.1102230246251565e-16
5,,10,5,0,5,0.007297509787440105,7.446820394427153e-13,0.0
5,,10,6,0,6,0.004602129511554171,1.9186102599990706e-13,1.1102230246251565e-16
5,,10,7,0,7,0.0053589534011123955,6.568109335981854e-12,1.1102230246251565e-16
5,,10,8,0,8,0.0007775071638881239,1.4758418671602426e-12,1.1102230246251565e-16
5,,10,9,0,9,0.0013718970591029753,7.338263005300532e-13,2.220446049250313e-16
5,,10,10,0,10,0.033872256839388264,3.866584781185782e-11,2.220446049250313e-16
6,,14,0,0,0,0.0018866115602417222,,
6,,14,1,0,1,0.005391982250151707,8.3015054491726e-15,0.0
6,,14,2,0,2,0.003162762000895953,2.0616571422605952e-14,1.1102230246251565e-16
6,,14,3,0,3,0.005557704755002249,4.1677412480626644e-14,3.3306690738754696e-16
6,,14,4,0,4,0.007686589314356873,2.4769993007084523e-14,1.1102230246251565e-16
6,,14,5,0,5,0.01217912231326853,5.475921016965866e-13,1.1102230246251565e-16
6,,14,6,0,6,0.006653529194553285,5.694126436961515e-12,1.1102230246251565e-16
6,,14,7,0,7,0.00983522253833399,1.1481048175611002e-12,1.1102230246251565e-16
6,,14,8,0,8,0.0021856621262836616,1.2800891614638948e-13,1.1102230246251565e-16
6,,14,9,0,9,0.002740594397372883,2.3679502716673543e-12,1.1102230246251565e-16
6,,14,10,0,10,0.019409249393734715,1.3375203589729965e-13,1.1102230246251565e-16
6,,14,11,0,11,0.029247324288686264,1.3583741149433672e-13,1.1102230246251565e-16
6,,14,12,0,12,0.0022666049189708475,2.8904850412851297e-13,1.1102230246251565e-16
6,,14,13,0,13,0.009679646972935661,2.908831655888964e-13,2.220446049250313e-16
6,,14,14,0,14,0.012890589599108847,1.7122482303832507e-12,2.220446049250313e-16
6,,15,15,0,15,0.0015856308557840476,4.327517488227688e-12,2.220446049250313e-16
7,,19,0,0,0,0.01277080460494442,,
7,,19,1,0,1,0.009778703278780922,2.9082966326223785e-15,0.0
7,,19,2,0,2,0.014300491835099342,1.6847343714970598e-13,0.0
7,,19,3,0,3,0.013435497863605437,4.760930272933669e-14,0.0
7,,19,4,0,4,0.01653742325496923,1.9847585164351285e-14,0.0
7,,19,5,0,5,0.008827642396142133,7.440871126621257e-14,0.0
7,,19,6,0,6,0.012624115665939555,4.164735244103276e-14,1.1102230246251565e-16
7,,19,7,0,7,0.019380467386938133,2.86950938036243e-13,3.3306690738754696e-16
7,,19,8,0,8,0.008919587862691803,4.1451183018495373e-13,0.0
7,,19,9,0,9,0.014488294675788249,3.03471283881209e-13,3.3306690738754696e-16
7,,19,10,0,10,0.012977648137372521,2.732448625253837e-13,1.1102230246251565e-16
7,,19,11,0,11,0.013988440728280475,2.2271595813738072e-12,2.220446049250313e-16
7,,19,12,0,12,0.021416572097716503,3.137015204577183e-13,2.220446049250313e-16
7,,19,13,0,13,0.011112454020303801,2.0600561067097743e-12,1.1102230246251565e-16
7,,20,14,0,14,0.0011544441942313865,4.835266815867268e-12,1.1102230246251565e-16
7,,20,15,0,15,0.000736654778148467,6.816126223418317e-10,2.220446049250313e-16
7,,20,16,0,16,0.0009633414323468856,2.829284045436221e-11,1.1102230246251565e-16
7,,20,17,0,17,0.00115298814091736,5.81771136945884e-12,1.1102230246251565e-16
7,,20,18,0,18,0.003385821586024647,5.024844460541183e-11,1.1102230246251565e-16
7,,20,19,0,19,0.003180183180859491,3.8083978898867324e-11,2.220446049250313e-16
7,,20,20,0,20,0.0014844114885857688,2.4012625581314105e-12,3.3306690738754696e-16
8,,25,0,0,0,0.009392383849023626,,
8,,25,1,0,1,0.012450051804904966,3.710835984733134e-15,1.1102230246251565e-16
8,,25,2,0,2,0.011653279513887161,1.6612250724207118e-14,2.220446049250313e-16
8,,25,3,0,3,0.012346490040198627,1.172974212242607e-13,0.0
8,,25,4,0,4,0.015062671483524623,4.857535894522551e-14,2.220446049250313e-16
8,,25,5,0,5,0.010319849939638647,9.289499161694735e-13,1.1102230246251565e-16
8,,25,6,0,6,0.013975072023297303,7.167575634414181e-13,1.1102230246251565e-16
8,,25,7,0,7,0.010723465834688637,9.089030299998868e-13,3.3306690738754696e-16
8,,25,8,0,8,0.008224245406402519,1.916540071951277e-12,3.3306690738754696e-16
8,,25,9,0,9,0.004709355333364619,1.3515736861884865e-13,4.440892098500626e-16
8,,25,10,0,10,0.01266478954813524,1.9936703821764903e-12,4.440892098500626e-16
8,,25,11,0,11,0.013421494110126962,4.412523635889457e-13,2.220446049250313e-16
8,,25,12,0,12,0.004028356160159083,4.92329736108596e-12,4.440892098500626e-16
8,,25,13,0,13,0.012151750658008758,8.267231163898726e-13,2.220446049250313e-16
8,,25,14,0,14,0.014733398694749102,2.256961431524007e-12,5.551115123125783e-16
8,,26,15,0,15,0.0005213820191897193,2.1448654891706202e-12,2.220446049250313e-16
8,,26,16,0,16,0.0012663598853062405,1.0787360033446988e-11,3.3306690738754696e-16
8,,26,17,0,17,0.0008399158579071409,4.213330325594657e-12,2.220446049250313e-16
8,,26,18,0,18,0.0024877619864473156,8.380728824500547e-11,4.440892098500626e-16
8,,26,19,0,19,0.0032385423197061267,4.045982722050645e-12,4.440892098500626e-16
8,,26,20,0,20,0.002594880118288102,6.4083154882494944e-12,4.440892098500626e-16
8,,26,21,0,21,0.002099734069250859,2.17875324314002e-12,2.220446049250313e-16
8,,26,22,0,22,0.0016788636945622413,1.0539480360134976e-11,2.220446049250313e-16
8,,26,23,0,23,0.002466930565064597,4.001448083270745e-11,2.220446049250313e-16
8,,26,24,0,24,0.0018382820903977584,2.7255903082898007e-11,2.220446049250313e-16
8,,26,25,0,25,0.0018202757543800538,5.996437410431354e-12,3.3306690738754696e-16
8,,26,26,0,26,0.0016212779692317723,1.7354901394702838e-11,3.3306690738754696e-16
9,,32,0,0,0,0.005559605323862767,,
9,,32,1,0,1,0.006515218780890636,7.868917848364879e-15,1.1102230246251565e-16
9,,32,2,0,2,0.008181574879677427,1.3810733532441156e-14,1.1102230246251565e-16
9,,32,3,0,3,0.004120963275760443,1.4347191495317035e-13,0.0
9,,32,4,0,4,0.01032640349074374,3.641099259875502e-14,3.3306690738754696e-16
9,,32,5,0,5,0.00962578111441371,1.0325417651403731e-11,3.3306690738754696e-16
9,,32,6,0,6,0.009780406718079343,1.1424401018006557e-12,2.220446049250313e-16
9,,32,7,0,7,0.011431434898566614,3.838814275396913e-13,1.1102230246251565e-16
9,,32,8,0,8,0.00515675366674165,1.7392628841514133e-11,2.220446049250313e-16
9,,32,9,0,9,0.007788605989761128,2.4390879671902196e-13,2.220446049250313e-16
9,,32,10,0,10,0.008915213498273983,3.5099296670287036e-13,4.440892098500626e-16
9,,32,11,0,11,0.008890721137283578,3.750914006480577e-11,2.220446049250313e-16
9,,32,12,0,12,0.007146288005367713,1.5337315012697673e-12,4.440892098500626e-16
9,,32,13,0,13,0.008546684916447259,1.5803418156341602e-12,5.551115123125783e-16
9,,32,14,0,14,0.008832537069359037,7.800455304233442e-11,0.0
9,,32,15,0,15,0.010082542339143356,3.864544719996218e-11,2.220446049250313e-16
9,,32,16,0,16,0.007357060001345092,1.960395387124505e-12,4.440892098500626e-16
9,,32,17,0,17,0.0037215695338307596,3.8181439301717703e-11,3.3306690738754696e-16
9,,32,18,0,18,0.01086646896757582,4.587453280754383e-12,3.3306690738754696e-16
9,,32,19,0,19,0.01040333938646504,6.980470216860311e-11,5.551115123125783e-16
9,,32,20,0,20,0.009321872987111944,3.4637019455212356e-12,4.440892098500626e-16
9,,33,21,0,21,0.00028882201705474796,1.1146774888266522e-10,3.3306690738754696e-16
9,,33,22,0,22,0.0009331587177372621,1.0393539610653803e-10,5.551115123125783e-16
9,,33,23,0,23,0.002390806607765054,7.111460831198342e-11,4.440892098500626e-16
9,,33,24,0,24,0.0013857621280203244,4.921637711220318e-11,3.3306690738754696e-16
9,,33,25,0,25,0.0013335746985437252,3.0539288154275544e-11,2.220446049250313e-16
9,,33,26,0,26,0.0007495551518432712,1.685148683203935e-11,3.3306690738754696e-16
9,,33,27,0,27,0.0014400433871179965,8.014415795355995e-11,2.220446049250313e-16
9,,33,28,0,28,0.002849748946460494,5.59746195790355e-11,3.3306690738754696e-16
9,,33,29,0,29,0.0007988600541613423,1.2878859364581523e-09,3.3306690738754696e-16
9,,33,30,0,30,0.001944234759903504,8.805791592724977e-11,2.220446049250313e-16
9,,33,31,0,31,0.0012833994567514825,4.539976638105599e-10,2.220446049250313e-16
9,,33,32,0,32,0.0032774812022088712,8.665236952552705e-12,3.3306690738754696e-16
9,,33,33,0,33,0.0012280019706531798,1.757257227194806e-11,3.3306690738754696e-16
10,,40,0,0,0,0.001911174445446786,,
10,,40,1,0,1,0.002874864249320275,7.000045661304832e-15,1.1102230246251565e-16
10,,40,2,0,2,0.0023172821949867047,5.295913902465766e-14,4.440892098500626e-16
10,,40,3,0,3,0.004476914346818122,6.364785380228882e-14,3.3306690738754696e-16
10,,40,4,0,4,0.003328465413540977,9.729800547147168e-13,0.0
10,,40,5,0,5,0.0015896971866486457,3.3052574450030615e-13,3.3306690738754696e-16
10,,40,6,0,6,0.00244673577593468,1.7567267875393808e-12,1.1102230246251565e-16
10,,40,7,0,7,0.005545983911054467,5.339167092129275e-13,2.220446049250313e-16
10,,40,8,0,8,0.00459674167057715,5.945464483766992e-13,2.220446049250313e-16
10,,40,9,0,9,0.005144689555382074,3.4000009207616766e-12,1.1102230246251565e-16
10,,40,10,0,10,0.005395432563500467,2.3307627124764516e-11,5.551115123125783e-16
10,,40,11,0,11,0.005431998787988738,2.029546950548262e-12,2.220446049250313e-16
10,,40,12,0,12,0.0060359088685133415,1.6475758155239223e-11,1.1102230246251565e-16
10,,40,13,0,13,0.003095864214944983,5.838825279838386e-12,1.1102230246251565e-16
10,,40,14,0,14,0.002915278295654893,1.1198321409515429e-10,3.3306690738754696e-16
10,,40,15,0,15,0.004995452506761815,8.454281190540539e-13,2.220446049250313e-16
10,,40,16,0,16,0.005062826801534825,3.3089250876458452e-12,5.551115123125783e-16
