m,n,R,s,seed,ker_dim,s_val,decomp_error,w
2,58,58,58,0,58,4.492829580693872e-07,1.5726325482994306e-09,7.771561172376096e-16
2,59,59,59,0,59,1.5634022511732696e-07,2.853939432165684e-09,4.440892098500626e-16
2,60,60,60,0,60,1.867504154585179e-06,4.131522147589125e-10,6.661338147750939e-16
2,61,61,61,0,61,5.2810895786988964e-06,8.938791264068363e-11,8.881784197001252e-16
2,62,62,62,0,62,3.349115020607048e-06,1.7142254118814166e-10,7.771561172376096e-16
2,63,63,63,0,63,6.71717349648128e-06,2.4981255708466787e-10,9.992007221626409e-16
2,64,64,64,0,64,2.6788447827301103e-06,3.035489219955268e-09,8.881784197001252e-16
2,65,65,65,0,65,4.790458543749247e-07,1.985677893214763e-08,5.551115123125783e-16
2,66,66,66,0,66,2.5272780568207656e-06,2.893015885227184e-10,5.551115123125783e-16
2,67,67,67,0,67,7.500906339550394e-07,4.0985250181201265e-10,1.1102230246251565e-15
3,39,67,67,0,67,0.00010540530212384838,5.99769314641582e-11,7.771561172376096e-16
2,68,68,68,0,68,2.588604153004142e-07,8.661791633639993e-10,7.771561172376096e-16
3,40,68,68,0,68,0.0005649076693140186,3.1186804209695676e-11,8.881784197001252e-16
2,69,69,69,0,69,3.1735756413881203e-06,1.8658204279529065e-10,7.771561172376096e-16
2,70,70,70,0,70,1.8193169425617944e-07,3.5793324580263802e-09,6.661338147750939e-16
4,29,70,70,0,70,0.0009319019617585063,1.9686937395116977e-11,5.551115123125783e-16
3,41,70,70,0,70,0.000667296258498413,3.2781237063170005e-11,1.1102230246251565e-15
2,71,71,71,0,71,8.406424332990618e-08,6.86016796975153e-09,7.771561172376096e-16
5,23,71,71,0,71,0.00217740585052164,3.196414033610921e-11,6.661338147750939e-16
2,72,72,72,0,72,1.354459950437033e-05,1.1533067504751066e-10,8.881784197001252e-16
3,42,72,72,0,72,0.00042892397454960437,8.643686445935706e-11,8.881784197001252e-16
4,30,72,72,0,72,0.001736352744789475,1.9190391265500055e-11,5.551115123125783e-16
