m,n,R,s,seed,ker_dim,s_val,decomp_error,w
2,58,57,0,0,0,7.630594162647603e-05,,
2,59,58,0,0,0,0.00013285423059216037,,
2,60,59,0,0,0,7.10461527762734e-05,,
2,61,60,0,0,0,0.0002676520950356634,,
2,62,61,0,0,0,1.8243149598412364e-05,,
2,63,62,0,0,0,0.00021936019305116011,,
2,64,63,0,0,0,0.00010630282578257409,,
2,65,64,0,0,0,4.037346086035349e-05,,
2,66,65,0,0,0,0.000215356600048076,,
2,67,66,0,0,0,8.246113886201119e-05,,
3,39,66,0,0,0,0.0016416323893614373,,
2,68,67,0,0,0,0.000166030858396353,,
3,40,67,0,0,0,0.004916868987520249,,
2,69,68,0,0,0,4.4054437189449473e-05,,
2,70,69,0,0,0,0.00011215668349228197,,
4,29,69,0,0,0,0.002192268951308259,,
3,41,69,0,0,0,0.003910740680468843,,
2,71,70,0,0,0,0.00023189356366336647,,
5,23,70,0,0,0,0.004343466458243456,,
2,72,71,0,0,0,0.0001484793052914226,,
3,42,71,0,0,0,0.0021033129355407707,,
4,30,71,0,0,0,0.004684297799999676,,
2,73,72,0,0,0,0.0002478501232781863,,
2,74,73,0,0,0,0.00024360620232008131,,
3,43,73,0,0,0,0.0004791241471708937,,
5,24,73,0,0,0,0.006323270276320518,,
2,75,74,0,0,0,4.0991394242522926e-05,,
4,31,74,0,0,0,0.0016926425500429674,,
9,13,74,0,0,0,0.0030164169163673306,,
3,44,74,0,0,0,0.004504467278807855,,
2,76,75,0,0,0,5.891190064006642e-05,,
6,20,75,0,0,0,0.00015936570270040466,,
7,17,75,0,0,0,0.0007034850414170937,,
2,77,76,0,0,0,3.504146308399007e-05,,
8,15,76,0,0,0,0.0014204756622532369,,
3,45,76,0,0,0,0.003118742450046052,,
10,12,76,0,0,0,0.004319867751038002,,
4,32,76,0,0,0,0.004111873741908285,,
5,25,76,0,0,0,0.006230707630570207,,
2,78,77,0,0,0,5.0941406397089855e-05,,
11,11,77,0,0,0,0.0023147060891047758,,
2,79,78,0,0,0,4.6876129526776305e-05,,
3,46,78,0,0,0,0.0015738479068420478,,
6,21,78,0,0,0,0.006393311569648718,,
2,80,79,0,0,0,1.132748135616987e-05,,
4,33,79,0,0,0,0.00035549622029586815,,
7,18,79,0,0,0,0.0053685835789127005,,
2,81,80,0,0,0,7.698052856102424e-05,,
3,47,80,0,0,0,0.0002916730214386835,,
5,26,80,0,0,0,0.0006918384187557241,,
9,14,80,0,0,0,0.0029014157702091288,,
2,82,81,0,0,0,1.9530886561903956e-05,,
8,16,81,0,0,0,0.003183042396155324,,
4,34,81,0,0,0,0.003491358940841294,,
3,48,81,0,0,0,0.0035287701810651786,,
2,83,82,0,0,0,7.090699464186185e-05,,
6,22,82,0,0,0,0.005096746049255058,,
2,84,83,0,0,0,0.00013227156239472315,,
10,13,83,0,0,0,0.0021673947376622386,,
5,27,83,0,0,0,0.0023336872055015473,,
3,49,83,0,0,0,0.0019229128137098392,,
4,35,84,0,0,0,5.9409917278900704e-05,,
2,85,84,0,0,0,5.3390639748027024e-05,,
7,19,84,0,0,0,0.0017661224662224818,,
11,12,84,0,0,0,0.0048466802690689545,,
2,86,85,0,0,0,0.00020149333686705778,,
3,50,85,0,0,0,0.0011370451038695264,,
2,87,86,0,0,0,5.022606005066306e-05,,
5,28,86,0,0,0,0.003163775644680216,,
4,36,86,0,0,0,0.0025613439868793233,,
9,15,86,0,0,0,0.0033528708567257502,,
6,23,86,0,0,0,0.004507486846385928,,
8,17,86,0,0,0,0.005329970959030641,,
3,51,86,0,0,0,0.004406100579795912,,
2,88,87,0,0,0,8.329806500869262e-05,,
2,89,88,0,0,0,1.6050950732095243e-06,,
3,52,88,0,0,0,0.0028430836885059807,,
7,20,88,0,0,0,0.005995658805052173,,
4,37,88,0,0,0,0.004479605441785908,,
2,90,89,0,0,0,3.138362133820827e-05,,
5,29,89,0,0,0,0.003597408192399512,,
10,14,90,0,0,0,1.31004450227149e-05,,
2,91,90,0,0,0,0.00014064297297737324,,
3,53,90,0,0,0,0.0019752164579772123,,
6,24,90,0,0,0,0.0034090648963446967,,
2,92,91,0,0,0,8.572538851934888e-05,,
4,38,91,0,0,0,0.0016538570021733322,,
2,93,92,0,0,0,3.0993079331548986e-05,,
8,18,92,0,0,0,0.0005946570973657435,,
11,13,92,0,0,0,0.0010962868752820733,,
3,54,92,0,0,0,0.0007229092556440585,,
9,16,92,0,0,0,0.0031347195215661624,,
5,30,92,0,0,0,0.004100383268716297,,
12,12,92,0,0,0,0.005371383026779412,,
2,94,93,0,0,0,1.2203450190299217e-05,,
7,21,93,0,0,0,0.0028458302943700506,,
4,39,93,0,0,0,0.004215155145223703,,
3,55,93,0,0,0,0.003573177382314225,,
2,95,94,0,0,0,8.619222846416062e-06,,
6,25,94,0,0,0,0.002127606223422794,,
2,96,95,0,0,0,7.707108457323693e-05,,
3,56,95,0,0,0,0.002410185854890314,,
5,31,95,0,0,0,0.005284652955686938,,
2,97,96,0,0,0,4.0224348576513806e-06,,
4,40,96,0,0,0,0.0009818266980431165,,
10,15,96,0,0,0,0.004243860996086133,,
2,98,97,0,0,0,2.2363261932569028e-05,,
8,19,97,0,0,0,0.002080157280539365,,
3,57,97,0,0,0,0.001399791182115481,,
7,22,98,0,0,0,8.679590812018945e-05,,
2,99,98,0,0,0,3.937412231315102e-05,,
6,26,98,0,0,0,0.0011946953500340412,,
9,17,98,0,0,0,0.0029110128082122056,,
