m,n,R,s,seed,ker_dim,s_val,decomp_error,w
3,3,4,0,0,1,0.018244552035536318,0.40486012136724364,
3,4,6,0,0,3,0.053112302667044115,0.9079052678965028,
3,4,6,1,0,3,0.051419592453697184,0.9386757143967057,0.27345453354950167
3,4,6,2,0,3,0.03241014820318399,0.858615413313158,0.5791038509591339
3,5,8,0,0,6,0.018897944183954615,1.329138826525078,
3,5,8,1,0,6,0.05106365075122342,1.3355585372591254,0.6905964738215737
3,5,8,2,0,6,0.04660684220698049,1.226399607733483,0.29760162174777893
3,5,8,3,0,6,0.020212877584927427,1.273523689042799,0.36742607940985783
3,5,8,4,0,6,0.011393968757876226,1.2982350498030077,0.438386715710131
3,5,8,5,0,6,0.0029107057031210215,1.1767984220375391,0.582718888658254
4,4,9,0,0,9,0.04288306468811344,1.8154089062961618,
4,4,9,1,0,9,0.05489593991175306,1.7802478867982456,0.34674169086141426
4,4,9,2,0,9,0.024815217339977415,1.6326551703325665,0.24067387552989428
4,4,9,3,0,9,0.04450758011562712,1.5196798333477712,0.5720404859777843
4,4,9,4,0,9,0.020521775418557018,1.7273124638907114,0.6358502009501709
4,4,9,5,0,9,0.032885834570555376,1.6575103449374575,0.5216648606299139
4,4,9,6,0,9,0.02492582826298083,1.613574663173277,0.568153400950648
4,4,9,7,0,9,0.006808680780488154,1.5757111707306874,0.7245625814061767
4,4,9,8,0,9,0.0015008900606348307,1.0558227719021427,0.24420083460776032
3,6,10,0,0,10,0.057246566802046324,1.7382705690122955,
3,6,10,1,0,10,0.02497926251550156,1.5977967915529054,0.3681909218474009
3,6,10,2,0,10,0.04003861202687078,1.7099600661244285,0.298952770724786
3,6,10,3,0,10,0.04149983778651746,1.8368843187545656,0.3634580109954795
3,6,10,4,0,10,0.020701418340276233,1.6569103792241564,0.6864502515391606
3,6,10,5,0,10,0.0168783459737876,1.9352202314327527,0.5504925259749549
3,6,10,6,0,10,0.023784266668096382,1.792565783064592,0.5125368730800897
3,6,10,7,0,10,0.014961101624394832,1.6937358067532813,0.7117389963263726
3,6,10,8,0,10,0.006348376805074557,0.9808600020923797,0.19311116658096872
3,6,10,9,0,10,0.00021332412681156478,0.8531548257195628,0.0419571596227486
4,5,11,0,0,6,0.023348429724644713,1.6018745826807244,
4,5,11,1,0,6,0.02276077174657351,1.4581610145450974,0.10027406165194319
4,5,11,2,0,6,0.014040119567497424,1.5758366545344602,0.46689221806144976
4,5,11,3,0,6,0.014357037074470433,1.453738955151763,0.5001376846322749
4,5,11,4,0,6,0.006263635988420275,1.6154280985888876,0.5789739652597273
4,5,11,5,0,6,0.010349897663563269,1.5020820249291462,0.6853298377389492
4,5,12,6,0,18,0.029572442334710552,2.6172408395134505,0.45020705334145117
4,5,12,7,0,18,0.043936647207043274,2.599153074566293,0.7820373945193131
4,5,12,8,0,18,0.025500597534089592,2.4801981047122035,0.5542101039472791
4,5,12,9,0,18,0.024488700957524288,2.5564136872697896,0.7585189235913347
4,5,12,10,0,18,0.030962000953594974,2.691823991552577,0.8191542174463425
4,5,12,11,0,18,0.021366227828028266,2.544391148423432,0.5689669361104046
4,5,12,12,0,18,0.005791683642747309,2.697086496194223,0.7650410645074442
3,7,11,0,0,3,0.02460362973864802,1.2047032378685696,
3,7,11,1,0,3,0.008422471148791138,1.2544561680251227,0.3471937891215361
3,7,11,2,0,3,0.011211127862141929,0.9249871052219876,0.4154829803051341
3,7,12,3,0,15,0.030889319435412052,2.2439786453082853,0.3982825901066612
3,7,12,4,0,15,0.04650421470176807,2.3779313897916627,0.44019361628026676
3,7,12,5,0,15,0.026623206882955646,2.2222581170566023,0.6535372990938793
3,7,12,6,0,15,0.01489387721522782,2.1376773117650103,0.6153164121498311
3,7,12,7,0,15,0.011920176572205581,2.103318947720788,0.5942178127074649
3,7,12,8,0,15,0.013329070887714175,2.3703691365901554,0.6828943154229232
3,7,12,9,0,15,0.02659203402294777,2.3550130273593686,0.5526932328430694
3,7,12,10,0,15,0.0003666628683719274,1.9673021849988432,0.6486702883877659
3,7,12,11,0,15,0.001268906565511854,2.040229983338851,0.5558586068134654
3,7,12,12,0,15,0.0025205720548186587,1.7246861115650993,0.6322494671244276
3,8,13,0,0,7,0.017362844002019918,1.679077038109219,
3,8,13,1,0,7,0.019034067809701738,1.6066767469652479,0.10641420925667455
3,8,13,2,0,7,0.003206155453874981,1.632221544027595,0.17233691973100973
3,8,13,3,0,7,0.006412269024579814,1.7129510705803144,0.7109371795310742
3,8,13,4,0,7,0.012023324717732863,1.7794879686422316,0.4585715578925418
3,8,13,5,0,7,0.004921725763334533,1.5992047308341328,0.6940313375720415
3,8,13,6,0,7,0.007901403597081323,1.7278096100571834,0.848157893241733
3,8,14,7,0,21,0.03252731889765737,2.918001689833723,0.7216923997904222
