m,n,R,s,seed,ker_dim,s_val,decomp_error,w
4,,6,0,0,1,0.0239455588213735,0.5146690443694544,
5,,10,0,0,5,0.0736921023863199,1.277514641501819,
5,,10,1,0,5,0.0588533776501309,1.456829315699947,0.6463569650773602
5,,10,2,0,5,0.0519527360262151,1.1305585767745727,0.0779265875303248
5,,10,3,0,5,0.0279724262870959,1.239353894359852,0.7686491323297456
5,,10,4,0,5,0.0092194772021655,1.4389565520600225,0.8322571376891129
6,,15,0,0,15,0.0590710209698112,2.334288194171924,
6,,15,1,0,15,0.0483750812747481,2.17109590315823,0.505434865992215
6,,15,2,0,15,0.0551371543149306,2.34759384579235,0.5511634594283645
6,,15,3,0,15,0.0343699079642694,2.3957990093415473,0.553196421964985
6,,15,4,0,15,0.0232677556311199,2.1827023272295967,0.5969870484238955
6,,15,5,0,15,0.0265079873333316,2.315013714828438,0.4361304681609202
6,,15,6,0,15,0.0342375266342652,2.3962128657948325,0.6623452420584355
6,,15,7,0,15,0.0192501769253122,2.2541872432674985,0.6389913552673949
6,,15,8,0,15,0.0105811635637554,2.0707511992136425,0.6386989241965173
6,,15,9,0,15,0.0103756637888446,1.9210829961662723,0.4747610068188939
6,,15,10,0,15,0.0208692211106679,2.1896938866133433,0.6591163352488172
6,,15,11,0,15,0.0127864584076533,2.232758733103164,0.7224733435814863
6,,15,12,0,15,0.002738574465975,1.7510773031268887,0.5984387297597228
6,,15,13,0,15,0.002869730239797,2.078421194704427,0.8097769219839672
6,,15,14,0,15,0.0023819803452851,1.6058429225230677,0.52574674314713
7,,20,0,0,14,0.0179773524332197,2.4605005719910693,
7,,20,1,0,14,0.0152494689171502,2.3733059927919857,0.4233503021051016
7,,20,2,0,14,0.0251356493922074,2.421619950231375,0.5473706030591555
7,,20,3,0,14,0.0216700578887849,2.4397183207037108,0.8021546464644465
7,,20,4,0,14,0.009522061321785,2.354253252947666,0.6696898394130992
7,,20,5,0,14,0.0182050838354757,2.2875720816666827,0.7096743254521027
7,,20,6,0,14,0.0045685556399023,2.324237601367473,0.5860988456200128
7,,20,7,0,14,0.0185275966750626,2.416828676896553,0.6907514257170565
7,,20,8,0,14,0.0070611831934743,2.352445997130773,0.6684811124014471
7,,20,9,0,14,0.0056016662980848,2.462431566035179,0.631164939181895
7,,20,10,0,14,0.004159267715353,2.321844451989118,0.5798102983182877
7,,20,11,0,14,0.0029412253662386,2.1630576878208845,0.7663716660004567
7,,20,12,0,14,0.001821759316409,2.1715997637177593,0.822835517597164
7,,20,13,0,14,0.0029091943052857,1.5525138523078317,0.51030935037341
7,,21,14,0,35,0.0242715862065728,3.831692057681951,0.7836704658119878
7,,21,15,0,35,0.0147742148669981,3.8699757198288753,0.7661524701659843
7,,21,16,0,35,0.0191114879442581,3.850754276503577,0.7592753949125574
7,,21,17,0,35,0.0203269816112237,3.867467788385589,0.7824863970030724
7,,21,18,0,35,0.0161788431357996,3.7612925997833826,0.9101863047419824
7,,21,19,0,35,0.0071407453128264,3.7376616833213143,0.7043647596676506
7,,21,20,0,35,0.0043056737185736,3.781663518992605,0.7268880389374952
7,,21,21,0,35,0.0107887612620781,3.766159894606097,0.7191221602922275
8,,26,0,0,15,0.0131578708635111,2.6075161001664156,
8,,26,1,0,15,0.0124368232086236,2.6285346153205777,0.4821796633637222
8,,26,2,0,15,0.0135640109634374,2.5693013300469,0.6394497829450658
8,,26,3,0,15,0.0087238115823517,2.5406819880876093,0.4185579434773052
8,,26,4,0,15,0.0076719282344998,2.5853135594547645,0.6116695802086942
8,,26,5,0,15,0.0077508519456154,2.6331106101960016,0.666519905232027
8,,26,6,0,15,0.006117176138771,2.517694520640501,0.6741456155649255
8,,26,7,0,15,0.0073665901659029,2.539491681648579,0.7875040532127564
8,,26,8,0,15,0.005747311878417,2.4634304394380275,0.6770421117800796
8,,26,9,0,15,0.0088718653383701,2.586154561142813,0.7650937098347766
8,,26,10,0,15,0.0035991531666038,2.4068077701631485,0.6348383123018924
8,,26,11,0,15,0.0020753489630488,2.526467754444147,0.8024354664042936
8,,26,12,0,15,0.0032536397341533,2.501901244655275,0.8291113764952984
8,,26,13,0,15,0.0012067841260093,2.198265873715821,0.7051928836357466
8,,26,14,0,15,0.0008869351552528,1.8951297192332557,0.6567621836026837
8,,27,15,0,42,0.0286512123272949,4.34695751053789,0.6996362653340213
8,,27,16,0,42,0.0154629845300774,4.313691398805438,0.7870573143445352
8,,27,17,0,42,0.0151404118634562,4.202711417038711,0.7527393196414809
8,,27,18,0,42,0.0179856667555537,4.212260481423669,0.6642895211317899
8,,27,19,0,42,0.015342254164398,4.236511488266545,0.8520590818403667
8,,27,20,0,42,0.0112139013706435,4.318001902236515,0.8557110115881457
8,,27,21,0,42,0.0055019824410656,4.28075135570138,0.7924960746359448
8,,27,22,0,42,0.0052057007532067,4.267189366177369,0.7381509210094739
8,,27,23,0,42,0.0117529639135417,4.220151659047282,0.8149715944501905
8,,27,24,0,42,0.0105521480716823,4.233434842876251,0.8054735584577424
8,,27,25,0,42,0.004407538612029,4.201355768593678,0.833835257319753
8,,27,26,0,42,0.0071478636938214,4.186728137067331,0.7709685770943842
8,,27,27,0,42,0.0024665532330889,4.186777301103349,0.9206094493672012
9,,33,0,0,21,0.0127800540575802,3.1269286362097684,
9,,33,1,0,21,0.0100559607907695,3.103759801581406,0.4932430780069915
9,,33,2,0,21,0.0130692173391194,3.1296856677363167,0.6958515094432995
9,,33,3,0,21,0.0110949943862671,3.1516793762186803,0.6370665611063353
9,,33,4,0,21,0.0110982617447657,3.0645649413751657,0.6566634257924264
9,,33,5,0,21,0.008732996751752,3.088342472918412,0.643635904518584
9,,33,6,0,21,0.008922837607529,3.1461689420214425,0.6521389913060134
9,,33,7,0,21,0.0098418993839239,3.05904361280655,0.7096530007223789
9,,33,8,0,21,0.0085568810856626,3.1465798977531105,0.7050994795483685
